Trade,Name,Phone,Email,Post_Date,Source_URL
Landscaping,Landscaping hauling blackberries,206-407-5813,,2026-03-05T10:39:26-0800,https://seattle.craigslist.org/see/sks/d/landscaping-hauling-blackberries/7919285344.html
Landscaping,Excavation dirt gravel driveways ditches grading brush removal landscaping hydro,253 929 4059,,2026-03-02T08:03:49-0800,https://seattle.craigslist.org/skc/sks/d/auburn-excavation-dirt-gravel-driveways/7918556523.html
Landscaping,Excavation dirt gravel driveways ditches grading brush removal landscaping hydro,253 929 4059,,2026-02-23T08:01:45-0800,https://seattle.craigslist.org/skc/sks/d/auburn-excavation-dirt-gravel-driveways/7917023275.html
Landscaping,✅CONCRETE -FENCE WORK -REPAIR -DRIVEWAY-LAWN CARE- VINYL-WOOD- FENCING,206-333-2567,,2026-02-18T13:39:34-0800,https://seattle.craigslist.org/see/sks/d/seahurst-concrete-fence-work-repair/7916044686.html
Landscaping,"Landscaping (Sprinklers, Retaining walls)",206-651-6115,,2026-02-16T11:54:27-0800,https://seattle.craigslist.org/tac/sks/d/auburn-landscaping-sprinklers-retaining/7915563541.html
Landscaping,✅Full Service Landscaping ✅Lawn Care✅ Tree Removal✅Stump Grinding,253-754-9955,,2026-03-12T12:29:29-0700,https://seattle.craigslist.org/tac/hss/d/federal-way-full-service-landscaping/7920809613.html
Landscaping,🌿Local Lawn Care & Landscaping – FREE Estimates,253-227-7446,,2026-03-09T23:49:39-0700,https://seattle.craigslist.org/oly/hss/d/olympia-local-lawn-care-landscaping/7920254876.html
Landscaping,✅Full Service Landscaping ✅Lawn Care✅ Design ✅Install✅Maintain ✅⭐,253-754-9955,,2026-03-01T20:23:11-0800,https://seattle.craigslist.org/tac/hss/d/tacoma-full-service-landscaping-lawn/7918491929.html
Landscaping,Spring Is Almost Here Get Your Yard Ready with H&B Lawn Care,253.961.1321,,2026-03-01T11:28:12-0800,https://seattle.craigslist.org/see/hss/d/spring-is-almost-here-get-your-yard/7918406114.html
Landscaping,Lawn Aeration $120 | Power Raking / Dethatching $260 | Moss Control,206 512 5614,,2026-03-04T16:04:53-0800,https://seattle.craigslist.org/est/hss/d/issaquah-lawn-aeration-120-power-raking/7919138489.html
Landscaping,"“Emerald Land Lawn Care – Mowing, Cleanups, Mulch & More”",503-989-8448,,2026-02-12T16:10:27-0800,https://seattle.craigslist.org/skc/hss/d/federal-way-emerald-land-lawn-care/7914802203.html
Landscaping,GENERAL CLEAN UP🍁Lawn Care 🌱🍁🍂 Maintenance and more!,206-9536591,,2026-02-10T18:36:07-0800,https://seattle.craigslist.org/see/hss/d/seattle-general-clean-uplawn-care/7914390826.html
Landscaping,"📞📞 🏡🌳LANDSCAPING , HANDY MAN FENCE .GUTTER,PAINTING,.",253 5797835,,2026-03-05T17:34:25-0800,https://seattle.craigslist.org/tac/hss/d/tacoma-landscaping-handy-man-fence/7919383742.html
Landscaping,LANDSCAPING/ NEW LAWN  INSTALLATION \CLEANUP  SERVICES,425-209-5053,,2026-02-12T20:37:57-0800,https://seattle.craigslist.org/tac/hss/d/puyallup-landscaping-new-lawn/7914835903.html
Landscaping,🏡☎️🌳NEED A HANDYMAN SERVICES RENOVATION LANDSCAPING,253 5797835,,2026-02-16T10:47:27-0800,https://seattle.craigslist.org/tac/hss/d/tacoma-need-handyman-services/7915544867.html
Landscaping,WE HAVE THE KEYES TO ALL OF YOUR PROPERTY NEEDS!!,253-231-2544,,2026-02-13T12:54:23-0800,https://seattle.craigslist.org/skc/hss/d/auburn-we-have-the-keyes-to-all-of-your/7914981702.html
Landscaping,JUNK REMOVAL HAULING CHEAP TRASH YARD ☀️🚛LOW RATES MATTRESS,3212631660,,2026-03-08T13:38:59-0700,https://seattle.craigslist.org/est/lbs/d/lake-stevens-junk-removal-hauling-cheap/7919951312.html
Landscaping,$50 LAWN MOWING / YARD WORK,(206)609-1826,,2026-03-07T12:47:34-0800,https://seattle.craigslist.org/see/lbs/d/seattle-50-lawn-mowing-yard-work/7919766739.html
Landscaping,JUNK REMOVAL HAULING CHEAP TRASH YARD MATTRESS TOW SERV🚗👨‍🔧,3212631660,,2026-03-06T18:31:04-0800,https://seattle.craigslist.org/est/lbs/d/lake-stevens-junk-removal-hauling-cheap/7919617268.html
